"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание заказа с чёрным цветом","451","test_create_order_with_black_color","tests","2026-05-04","passed","2026-05-04","TestCreateOrder","test_create_order","",""
"В тело ответа возвращается список заказов","11561","test_get_orders_list","tests","2026-05-04","passed","2026-05-04","TestOrdersList","test_orders_list","",""
"Курьера можно создать","1","test_create_courier_success","tests","2026-05-04","passed","2026-05-04","TestCreateCourier","test_create_courier","",""
"Создание заказа с разными вариантами цветов","446","test_create_order_with_color[color2]","tests","2026-05-04","passed","2026-05-04","TestCreateOrder","test_create_order","",""
"Авторизация с несуществующим пользователем","533","test_login_nonexistent_user","tests","2026-05-04","passed","2026-05-04","TestLoginCourier","test_login_courier","",""
"Создание заказа с разными вариантами цветов","514","test_create_order_with_color[color0]","tests","2026-05-04","passed","2026-05-04","TestCreateOrder","test_create_order","",""
"Создание заказа с разными вариантами цветов","438","test_create_order_with_color[color3]","tests","2026-05-04","passed","2026-05-04","TestCreateOrder","test_create_order","",""
"Нельзя создать двух одинаковых курьеров","501","test_create_duplicate_courier","tests","2026-05-04","failed","2026-05-04","TestCreateCourier","test_create_courier","",""
"Если нет пароля, запрос возвращает ошибку","60451","test_login_without_password","tests","2026-05-04","failed","2026-05-04","TestLoginCourier","test_login_courier","",""
"Курьер может авторизоваться","422","test_login_success","tests","2026-05-04","passed","2026-05-04","TestLoginCourier","test_login_courier","",""
"Авторизация с неправильным паролем","470","test_login_wrong_password","tests","2026-05-04","passed","2026-05-04","TestLoginCourier","test_login_courier","",""
"Если нет логина, запрос возвращает ошибку","427","test_create_courier_without_login","tests","2026-05-04","passed","2026-05-04","TestCreateCourier","test_create_courier","",""
"Можно создать курьера без имени (firstName не обязателен)","1417","test_create_courier_without_firstname","tests","2026-05-04","passed","2026-05-04","TestCreateCourier","test_create_courier","",""
"Создание заказа с серым цветом","511","test_create_order_with_grey_color","tests","2026-05-04","passed","2026-05-04","TestCreateOrder","test_create_order","",""
"Если нет логина, запрос возвращает ошибку","446","test_login_without_login","tests","2026-05-04","passed","2026-05-04","TestLoginCourier","test_login_courier","",""
"Создание заказа с двумя цветами","458","test_create_order_with_both_colors","tests","2026-05-04","passed","2026-05-04","TestCreateOrder","test_create_order","",""
"Создание заказа без указания цвета","446","test_create_order_without_color","tests","2026-05-04","passed","2026-05-04","TestCreateOrder","test_create_order","",""
"Создание заказа с разными вариантами цветов","444","test_create_order_with_color[color1]","tests","2026-05-04","passed","2026-05-04","TestCreateOrder","test_create_order","",""
"Если нет пароля, запрос возвращает ошибку","438","test_create_courier_without_password","tests","2026-05-04","passed","2026-05-04","TestCreateCourier","test_create_courier","",""
